Method,AUC-ROC,AUC-PR,Accuracy,Precision,Recall,F1-Score,p_value,cohens_d,p_value_adj
FastRP Embedding,0.6288674325172718,0.9747301517188809,0.9484873832427158,0.9484873832427158,1.0,0.9735627660716202,,,
Avg PageRank,0.5418933734556947,0.9675604764463901,0.9484873832427158,0.9484873832427158,1.0,0.9735627660716202,9.357541990681026e-296,-0.5786940958092543,2.495344530848273e-295
Max PageRank,0.38688520037595076,0.9485297519906168,0.9484873832427158,0.9484873832427158,1.0,0.9735627660716202,0.0,-0.6485705609237562,0.0
Avg Betweenness,0.25141641605107934,0.9204671638533211,0.9484873832427158,0.9484873832427158,1.0,0.9735627660716202,1.511524279158958e-169,-0.524221736475735,3.023048558317916e-169
Max Betweenness,0.2830275683941631,0.929681770976309,0.9484873832427158,0.9484873832427158,1.0,0.9735627660716202,5.4206466570768195e-109,-0.4725151114456606,8.673034651322912e-109
Avg Clustering,0.6790218593211943,0.9790992676417678,0.9484873832427158,0.9484873832427158,1.0,0.9735627660716202,9.971551059530028e-85,0.4059944364799164,1.3295401412706704e-84
Connection Velocity,0.6621515377592108,0.9755097926051175,0.9484873832427158,0.9484873832427158,1.0,0.9735627660716202,5.288346244922589e-78,0.4461465052609323,6.04382427991153e-78
Burst Score,0.7161086817230604,0.9812311351698213,0.9484873832427158,0.9484873832427158,1.0,0.9735627660716202,0.0,0.8767327036631978,0.0
Subnet Size,0.47644272733140125,0.9359483180160979,0.9484873832427158,0.9484873832427158,1.0,0.9735627660716202,3.4125573835618535e-12,-0.21573840944465153,3.4125573835618535e-12
